iter	Passed	Remaining
0	11	11041
1	20	10335
2	28	9580
3	37	9235
4	45	8992
5	52	8740
6	60	8633
7	68	8466
8	76	8399
9	84	8320
10	92	8331
11	99	8220
12	106	8064
13	113	8002
14	119	7856
15	127	7840
16	134	7780
17	141	7733
18	149	7711
19	157	7731
20	165	7702
21	172	7689
22	180	7683
23	187	7640
24	196	7671
25	204	7669
26	211	7636
27	217	7547
28	223	7486
29	230	7450
30	236	7403
31	243	7379
32	250	7333
33	257	7319
34	263	7274
35	270	7238
36	276	7202
37	283	7172
38	290	7146
39	296	7120
40	302	7086
41	309	7069
42	316	7053
43	322	7016
44	330	7009
45	336	6977
46	343	6967
47	349	6933
48	355	6898
49	361	6863
50	367	6838
51	373	6814
52	380	6793
53	387	6786
54	393	6758
55	399	6731
56	405	6701
57	411	6682
58	417	6656
59	425	6658
60	432	6654
61	438	6629
62	444	6613
63	451	6607
64	460	6623
65	467	6618
66	475	6619
67	483	6629
68	490	6621
69	497	6605
70	503	6589
71	511	6588
72	517	6576
73	523	6556
74	529	6528
75	536	6525
76	543	6514
77	550	6502
78	557	6502
79	564	6492
80	571	6489
81	577	6465
82	585	6463
83	592	6458
84	600	6460
85	606	6444
86	611	6421
87	618	6406
88	625	6401
89	631	6389
90	639	6388
91	645	6370
92	651	6357
93	658	6342
94	664	6330
95	671	6324
96	678	6311
97	684	6304
98	691	6294
99	698	6284
100	705	6277
101	711	6261
102	717	6251
103	725	6246
104	732	6241
105	738	6230
106	746	6229
107	753	6222
108	758	6203
109	765	6194
110	771	6180
111	779	6177
112	786	6172
113	792	6155
114	799	6150
115	807	6151
116	813	6141
117	820	6131
118	826	6115
119	833	6112
120	840	6106
121	847	6101
122	854	6091
123	860	6078
124	867	6069
125	872	6052
126	880	6049
127	886	6035
128	891	6022
129	899	6016
130	904	6001
131	910	5989
132	917	5982
133	924	5972
134	930	5961
135	937	5953
136	943	5942
137	949	5928
138	955	5915
139	961	5904
140	967	5892
141	973	5881
142	979	5870
143	985	5859
144	991	5846
145	997	5835
146	1003	5823
147	1009	5811
148	1014	5796
149	1020	5782
150	1025	5768
151	1032	5761
152	1038	5750
153	1045	5743
154	1052	5735
155	1057	5723
156	1066	5727
157	1072	5715
158	1078	5706
159	1085	5698
160	1091	5687
161	1096	5674
162	1102	5660
163	1108	5651
164	1114	5641
165	1120	5630
166	1126	5618
167	1131	5605
168	1137	5592
169	1142	5578
170	1148	5570
171	1154	5557
172	1160	5545
173	1165	5535
174	1172	5527
175	1180	5527
176	1186	5519
177	1192	5506
178	1198	5497
179	1204	5486
180	1209	5472
181	1215	5464
182	1221	5454
183	1229	5453
184	1238	5456
185	1247	5458
186	1255	5458
187	1264	5460
188	1272	5461
189	1281	5465
190	1290	5465
191	1301	5479
192	1310	5480
193	1320	5485
194	1328	5486
195	1338	5492
196	1347	5494
197	1357	5500
198	1367	5502
199	1376	5506
200	1386	5511
201	1398	5525
202	1407	5525
203	1415	5524
204	1425	5526
205	1431	5516
206	1437	5506
207	1443	5495
208	1448	5481
209	1453	5468
210	1458	5454
211	1464	5441
212	1469	5430
213	1475	5421
214	1483	5415
215	1489	5406
216	1496	5398
217	1502	5390
218	1509	5384
219	1515	5374
220	1522	5366
221	1528	5356
222	1534	5348
223	1541	5340
224	1550	5339
225	1556	5331
226	1562	5320
227	1569	5312
228	1578	5313
229	1585	5306
230	1590	5295
231	1596	5285
232	1602	5274
233	1607	5263
234	1614	5255
235	1619	5243
236	1626	5236
237	1633	5229
238	1640	5223
239	1647	5218
240	1654	5210
241	1660	5201
242	1667	5195
243	1675	5191
244	1682	5184
245	1688	5175
246	1694	5166
247	1703	5164
248	1709	5155
249	1717	5152
250	1724	5145
251	1731	5139
252	1738	5132
253	1744	5122
254	1752	5119
255	1758	5109
256	1764	5102
257	1771	5094
258	1777	5086
259	1784	5080
260	1791	5071
261	1797	5062
262	1803	5054
263	1810	5047
264	1817	5039
265	1823	5030
266	1829	5022
267	1835	5013
268	1842	5005
269	1847	4995
270	1853	4986
271	1860	4980
272	1866	4970
273	1873	4963
274	1879	4954
275	1884	4944
276	1890	4935
277	1895	4923
278	1901	4913
279	1906	4903
280	1912	4893
281	1918	4884
282	1924	4874
283	1929	4864
284	1935	4855
285	1942	4848
286	1947	4839
287	1953	4828
288	1958	4817
289	1964	4810
290	1973	4808
291	1979	4798
292	1984	4789
293	1990	4780
294	1995	4768
295	2001	4760
296	2007	4750
297	2012	4740
298	2018	4731
299	2024	4722
300	2030	4716
301	2036	4707
302	2042	4699
303	2051	4696
304	2057	4688
305	2063	4680
306	2069	4670
307	2075	4663
308	2081	4654
309	2086	4644
310	2092	4635
311	2098	4627
